Species,Vernacular_name
Abudefduf luridus,Canary damsel
Abudefduf saxatilis,Sergeant-major
Acanthurus chirurgus,Doctorfish
Acanthurus coeruleus,Blue tang
Aetomylaeus bovinus,Bullray
Anisotremus virginicus,Porkfish
Argyrosomus regius,Meagre
Caranx crysos,Blue runner
Caranx hippos,Crevalle jack
Caranx latus,Horse-eye jack
Caranx ruber,Bar jack
Carcharhinus acronotus,Blacknose shark
Carcharhinus melanopterus,Blacktip reef shark
Carcharhinus plumbeus,Sandbar shark
Carcharias taurus,Sand tiger shark
Chaetodipterus faber,Atlantic spadefish
Chaetodon auriga,Featherfin butterflyfish
Chaetodon lunula,Raccoon butterflyfish
Chaetodon rafflesii,Latticed butterflyfish
Chelmon rostratus,Copperband butterflyfish
Diagramma pictum,Painted sweetlips
Diplodus cervinus,Zebra porgy
Diplodus sargus,White seabream
Diplodus vulgaris,Common twobanded seabream
Epinephelus lanceolatus,Giant grouper
Epinephelus marginatus,Dusky grouper
Glaucostegus cemiculus ,
Forcipiger flavissimus,Longnose butterflyfish
Gnathanodon speciosus,Golden trevally
Gymnothorax funebris,Green moray
Haemulon flavolineatum,French grunt
Haemulon macrostoma,Spanish grunt
Heniochus acuminatus,Pennant coral fish
Himantura undulata,Leopard whipray
Hypanus americanus,Southern stingray
Labroides dimidiatus,Striped cleaner wrasse
Lachnolaimus maximus,Hogfish
Lutjanus apodus,Schoolmaster snapper
Lutjanus griseus,Grey snapper
Mobula hypostoma,Lesser devil ray
Mobula mobular,Devilfish
Mola mola,Ocean sunfish
Myliobatis aquila,Common eagle ray
Myripristis jacobus,Blackbar soldierfish
Naso lituratus,Orange spine surgeonfish
Ocyurus chrysurus,Yellowtail snapper
Paranthias furcifer,Creolefish
Pomacanthus imperator,Emperor angelfish
Pomacanthus paru,French angelfish
Rhinobatos rhinobatos,Common guitarfish
Rhynchobatus australiae,Guitarfish
Scomber colias,Atlantic chub mackerel
Selene vomer,Lookdown
Sphyraena barracuda,Great barracuda
Stegostoma tigrinum,Zebra shark
Symphorichthys spilurus,Sailfin snapper
Taeniura grabata,Round stingray
Trachinotus ovatus,Derbio
Trachurus trachurus,Atlantic horse mackerel
Triaenodon obesus,Whitetip reef shark
